Dept_No,Dept_Name,Miles,Charges
1020,"Presidents Fund",ACTIVE,95,131.55
1080,"Campus Development",ACTIVE,489,821.9000000000001
1300,"General Fund",ACTIVE,541,798.55
1550,"Respect the Corners",ACTIVE,267,372.55
1620,"Go Center",ACTIVE,24,32.400000000000006
1720,Transportation,ACTIVE,138,199
1740,BTC,ACTIVE,306,572.4
1840,"Building Managers",ACTIVE,58,104.6
2000,"Building Maintenance",ACTIVE,123,233.7
2020,"Kokua Crew",ACTIVE,1636,2407.95
2800,"Foundation School",ACTIVE,118,177
3920,"24 Frames",ACTIVE,39,74.1
4765,"End Bible Poverty Now",ACTIVE,69,103.5
7024,"Crossroads September",INACTIVE,247,361.40000000000003
7054,"Fire And Fragrance September",INACTIVE,2328,3442.6000000000004
7154,"Endeavor DTS",ACTIVE,346,539.85
7164,"Rising DTS Octobert",ACTIVE,691,974.2
7174,"Korean Crossroad DTS",ACTIVE,237,322.25
8034,"counter culture school of apologetics",ACTIVE,10,15
8054,"DBS September",INACTIVE,146,216
8064,"Foundations for Biblical Counseling",ACTIVE,0,0
8184,"School of Worship September",INACTIVE,560,799.2500000000001
8345,"Korean Foundation School",ACTIVE,53,71.55000000000001
8685,"Korean SBS",ACTIVE,40,50.5
8695,"English SBS",ACTIVE,60,79
8705,"Revival and Reformation",ACTIVE,292,394.40000000000003
9864,"F&F Leadership Track September 2023",INACTIVE,12449,19935.8
