Vehicle_No,Dept_Name,Month,Year,Amount
"50 - Grounds","STAR Center (Not Farm)",July,2016,100.00
"53 - Farm082","STAR Center (Not Farm)",May,2017,100.00
"53 - Farm082","Building Maintenance",February,2017,100.00
"53 - Farm082","STAR Center (Not Farm)",May,2019,100.00
"53 - Farm082","STAR Center (Not Farm)",August,2021,100.00
"53 - Farm082","Building Maintenance",November,2016,100.00
"53 - Farm082","Building Maintenance",August,2016,100.00
"53 - Farm082","STAR Center (Not Farm)",February,2019,100.00
"53 - Farm082","STAR Center (Not Farm)",May,2021,100.00
"53 - Farm082","Building Maintenance",June,2016,100.00
"53 - Farm082","Building Maintenance",March,2016,100.00
"53 - Farm082","STAR Center (Not Farm)",November,2018,100.00
"53 - Farm082","Building Maintenance",February,2016,100.00
"53 - Farm082","STAR Center (Not Farm)",August,2018,100.00
"53 - Farm082","STAR Center (Not Farm)",May,2018,100.00
"53 - Farm082","STAR Center (Not Farm)",December,2019,100.00
"53 - Farm082","Building Maintenance",August,2015,50.00
"53 - Farm082","STAR Center (Not Farm)",January,2018,100.00
"53 - Farm082","STAR Center (Not Farm)",October,2017,100.00
"53 - Farm082","STAR Center (Not Farm)",September,2019,100.00
"53 - Farm082","STAR Center (Not Farm)",July,2017,100.00
"53 - Farm082","STAR Center (Not Farm)",April,2017,100.00
"53 - Farm082","STAR Center (Not Farm)",June,2019,100.00
"53 - Farm082","STAR Center (Not Farm)",January,2017,100.00
"53 - Farm082","Building Maintenance",October,2016,100.00
"53 - Farm082","STAR Center (Not Farm)",March,2019,100.00
"53 - Farm082","STAR Center (Not Farm)",June,2021,100.00
"53 - Farm082","Building Maintenance",July,2016,100.00
"53 - Farm082","Building Maintenance",May,2016,100.00
"53 - Farm082","STAR Center (Not Farm)",December,2018,100.00
"53 - Farm082","STAR Center (Not Farm)",October,2018,100.00
"53 - Farm082","STAR Center (Not Farm)",July,2018,100.00
"53 - Farm082","STAR Center (Not Farm)",January,2020,100.00
"53 - Farm082","STAR Center (Not Farm)",March,2018,1000.00
"53 - Farm082","STAR Center (Not Farm)",December,2017,100.00
"53 - Farm082","STAR Center (Not Farm)",October,2019,100.00
"53 - Farm082","STAR Center (Not Farm)",September,2017,100.00
"53 - Farm082","STAR Center (Not Farm)",June,2017,100.00
"53 - Farm082","STAR Center (Not Farm)",July,2019,100.00
"53 - Farm082","STAR Center (Not Farm)",March,2017,100.00
"53 - Farm082","Building Maintenance",December,2016,100.00
"53 - Farm082","STAR Center (Not Farm)",April,2019,100.00
"53 - Farm082","STAR Center (Not Farm)",July,2021,100.00
"53 - Farm082","Building Maintenance",September,2016,100.00
"53 - Farm082","STAR Center (Not Farm)",January,2019,100.00
"53 - Farm082","Building Maintenance",April,2016,100.00
"53 - Farm082","STAR Center (Not Farm)",September,2018,100.00
"53 - Farm082","STAR Center (Not Farm)",February,2020,100.00
"53 - Farm082","STAR Center (Not Farm)",June,2018,100.00
"53 - Farm082","STAR Center (Not Farm)",February,2018,100.00
"53 - Farm082","STAR Center (Not Farm)",November,2019,100.00
"53 - Farm082","STAR Center (Not Farm)",November,2017,100.00
"53 - Farm082","STAR Center (Not Farm)",August,2017,100.00
"53 - Farm082","STAR Center (Not Farm)",August,2019,100.00
"57 - Develop","Campus Development",February,2016,100.00
"57 - Develop","Campus Development",January,2016,100.00
"58 - Maint","Building Maintenance",June,2019,100.00
"58 - Maint","STAR Center (Not Farm)",October,2021,100.00
"58 - Maint","Building Maintenance",March,2019,100.00
"58 - Maint","Building Maintenance",June,2021,100.00
"58 - Maint","Building Maintenance",December,2018,100.00
"58 - Maint","Building Maintenance",February,2021,100.00
"58 - Maint","Building Maintenance",November,2020,100.00
"58 - Maint","Building Maintenance",January,2020,100.00
"58 - Maint","Building Maintenance",December,2015,100.00
"58 - Maint","Building Maintenance",October,2019,100.00
"58 - Maint","STAR Center (Not Farm)",May,2022,100.00
"58 - Maint","STAR Center (Not Farm)",February,2022,100.00
"58 - Maint","Building Maintenance",July,2019,100.00
"58 - Maint","STAR Center (Not Farm)",November,2021,100.00
"58 - Maint","Building Maintenance",September,2021,100.00
"58 - Maint","Building Maintenance",April,2019,100.00
"58 - Maint","Building Maintenance",July,2021,100.00
"58 - Maint","Building Maintenance",January,2019,100.00
"58 - Maint","Building Maintenance",April,2021,100.00
"58 - Maint","Building Maintenance",January,2021,100.00
"58 - Maint","Building Maintenance",February,2016,100.00
"58 - Maint","Building Maintenance",February,2020,100.00
"58 - Maint","Building Maintenance",January,2016,100.00
"58 - Maint","Building Maintenance",November,2015,100.00
"58 - Maint","Building Maintenance",November,2019,100.00
"58 - Maint","STAR Center (Not Farm)",July,2022,100.00
"58 - Maint","STAR Center (Not Farm)",April,2022,100.00
"58 - Maint","Building Maintenance",August,2019,100.00
"58 - Maint","STAR Center (Not Farm)",January,2022,100.00
"58 - Maint","Building Maintenance",October,2021,100.00
"58 - Maint","Building Maintenance",May,2019,100.00
"58 - Maint","Building Maintenance",August,2021,100.00
"58 - Maint","Building Maintenance",February,2019,100.00
"58 - Maint","Building Maintenance",May,2021,100.00
"58 - Maint","Building Maintenance",March,2021,100.00
"58 - Maint","Building Maintenance",November,2018,100.00
"58 - Maint","Building Maintenance",December,2020,100.00
"58 - Maint","Building Maintenance",December,2019,100.00
"58 - Maint","Building Maintenance",October,2015,100.00
"58 - Maint","STAR Center (Not Farm)",June,2022,100.00
"58 - Maint","Building Maintenance",September,2019,100.00
"58 - Maint","STAR Center (Not Farm)",March,2022,100.00
"58 - Maint","Building Maintenance",December,2021,100.00
